a|A0
muỷnh|M W I3 NGZ
muỹnh|M W I2 NGZ
muýnh|M W I4 NGZ
muỵnh|M W I5 NGZ
muyp|M W I4 PC
muýp|M W I4 PC
muỵp|M W I5 PC
muyt|M W I4 TC
muýt|M W I4 TC
muỵt|M W I4 TC
muyu|M W I0 UZ
muỳu|M W I1 UZ
muỷu|M W I3 UZ
muỹu|M W I2 UZ
muýu|M W I4 UZ
muỵu|M W I5 UZ
mư|M UW0
mừ|M UW1
mử|M UW3
mữ|M UW2
mứ|M UW4
mự|M UW5
mưa|M WA0
mừa|M WA1
mửa|M WA3
mữa|M WA2
mứa|M WA4
mựa|M WA5
mức|M UW4 KC
mực|M UW5 KC
mưm|M UW0 MZ
mừm|M UW1 MZ
mửm|M UW3 MZ
mữm|M UW2 MZ
mứm|M UW4 MZ
mựm|M UW5 MZ
mừn|M UW1 NZ
mưng|M UW0 NGZ
mừng|M UW1 NGZ
mửng|M UW3 NGZ
mững|M UW2 NGZ
mứng|M UW4 NGZ
mựng|M UW5 NGZ
mươi|M WA0 IZ
mười|M WA1 IZ
mưởi|M WA3 IZ
mưỡi|M WA2 IZ
mưới|M WA4 IZ
mượi|M WA5 IZ
mướn|M WA4 NZ
mượn|M WA5 NZ
mương|M WA0 NGZ
mường|M WA1 NGZ
mưởng|M WA3 NGZ
mưỡng|M WA2 NGZ
mướng|M WA4 NGZ
mượng|M WA5 NGZ
mướp|M WA4 PC
mướt|M WA4 TC
mượt|M WA5 TC
mứt|M UW4 TC
mưu|M UW0 UZ
mừu|M UW1 UZ
mửu|M UW3 UZ
mữu|M UW2 UZ
mứu|M UW4 UZ
mựu|M UW5 UZ
my|M I0
mỳ|M I1
mỷ|M I3
mỹ|M I2
mý|M I4
mỵ|M I5
n|NZ
na|N A0
nà|N A1
nả|N A3
nã|N A2
ná|N A4
nạ|N A5
nác|N A4 KC
nạc|N A5 KC
nách|N EA4 KC
nai|N A0 IZ
nài|N A1 IZ
nải|N A3 IZ
nãi|N A2 IZ
nái|N A4 IZ
nại|N A5 IZ
nam|N A0 MZ
nàm|N A1 MZ
nảm|N A3 MZ
nãm|N A2 MZ
nám|N A4 MZ
nạm|N A5 MZ
nan|N A0 NZ
nàn|N A1 NZ
nản|N A3 NZ
nãn|N A2 NZ
nán|N A4 NZ
nạn|N A5 NZ
nang|N A0 NGZ
nàng|N A1 NGZ
nảng|N A3 NGZ
nãng|N A2 NGZ
náng|N A4 NGZ
nạng|N A5 NGZ
nanh|N EA0 NGZ
nành|N EA1 NGZ
nảnh|N EA3 NGZ
nãnh|N EA2 NGZ
nánh|N EA4 NGZ
nạnh|N EA5 NGZ
nao|N A0 UZ
nào|N A1 UZ
nảo|N A3 UZ
não|N A2 UZ
náo|N A4 UZ
nạo|N A5 UZ
náp|N A4 PC
nạp|N A5 PC
nát|N A4 TC
nạt|N A5 TC
nau|N AW0 UZ
nàu|N AW1 UZ
nảu|N AW3 UZ
nãu|N AW2 UZ
náu|N AW4 UZ
nạu|N AW5 UZ
nay|N AW0 IZ
này|N AW1 IZ
nảy|N AW3 IZ
nãy|N AW2 IZ
náy|N AW4 IZ
nạy|N AW5 IZ
nắc|N AW4 KC
nặc|N AW5 KC
năm|N AW0 MZ
nằm|N AW1 MZ
nẳm|N AW3 MZ
nẵm|N AW2 MZ
nắm|N AW4 MZ
nặm|N AW5 MZ
năn|N AW0 NZ
nằn|N AW1 NZ
nẳn|N AW3 NZ
nẵn|N AW2 NZ
nắn|N AW4 NZ
nặn|N AW5 NZ
năng|N AW0 NGZ
nằng|N AW1 NGZ
nẳng|N AW3 NGZ
nẵng|N AW2 NGZ
nắng|N AW4 NGZ
nặng|N AW5 NGZ
nắp|N AW4 PC
năt|N AW4 TC
nắt|N AW4 TC
nặt|N AW5 TC
nấc|N AA4 KC
nầm|N AA1 MZ
nấm|N AA4 MZ
nậm|N AA5 MZ
nần|N AA1 NZ
nấn|N AA4 NZ
nâng|N AA0 NGZ
nầng|N AA1 NGZ
nẩng|N AA3 NGZ
nẫng|N AA2 NGZ
nấng|N AA4 NGZ
nậng|N AA5 NGZ
nấp|N AA4 PC
nập|N AA5 PC
nâu|N AA0 UZ
nầu|N AA1 UZ
nẩu|N AA3 UZ
nẫu|N AA2 UZ
nấu|N AA4 UZ
nậu|N AA5 UZ
nây|N AA0 IZ
nầy|N AA1 IZ
nẩy|N AA3 IZ
nẫy|N AA2 IZ
nấy|N AA4 IZ
nậy|N AA5 IZ
ne|N E0
nè|N E1
nẻ|N E3
nẽ|N E2
né|N E4
nẹ|N E5
nem|N E0 MZ
nèm|N E1 MZ
nẻm|N E3 MZ
nẽm|N E2 MZ
ném|N E4 MZ
nẹm|N E5 MZ
nen|N E0 NZ
nèn|N E1 NZ
nẻn|N E3 NZ
nẽn|N E2 NZ
nén|N E4 NZ
nẹn|N E5 NZ
neo|N E0 UZ
nèo|N E1 UZ
nẻo|N E3 UZ
nẽo|N E2 UZ
néo|N E4 UZ
nẹo|N E5 UZ
nép|N E4 PC
nẹp|N E5 PC
nét|N E4 TC
nẹt|N E5 TC
nê|N EE0
nề|N EE1
nể|N EE3
nễ|N EE2
nế|N EE4
nệ|N EE5
nếch|N EE4 KC
nêm|N EE0 MZ
nềm|N EE1 MZ
nểm|N EE3 MZ
nễm|N EE2 MZ
nếm|N EE4 MZ
nệm|N EE5 MZ
nên|N EE0 NZ
nền|N EE1 NZ
nển|N EE3 NZ
nễn|N EE2 NZ
nến|N EE4 NZ
nện|N EE5 NZ
nếp|N EE4 PC
nết|N EE4 TC
nêu|N EE0 UZ
nều|N EE1 UZ
nểu|N EE3 UZ
nễu|N EE2 UZ
nếu|N EE4 UZ
nệu|N EE5 UZ
nêy|N EE0 IZ
nga|NG A0
ngà|NG A1
ngả|NG A3
ngã|NG A2
ngá|NG A4
ngạ|NG A5
ngác|NG A4 KC
ngạc|NG A5 KC
ngách|NG EA4 KC
ngạch|NG EA5 KC
ngai|NG A0 IZ
ngài|NG A1 IZ
ngải|NG A3 IZ
ngãi|NG A2 IZ
ngái|NG A4 IZ
ngại|NG A5 IZ
ngan|NG A0 NZ
ngàn|NG A1 NZ
ngản|NG A3 NZ
ngãn|NG A2 NZ
ngán|NG A4 NZ
ngạn|NG A5 NZ
ngang|NG A0 NGZ
ngàng|NG A1 NGZ
ngảng|NG A3 NGZ
ngãng|NG A2 NGZ
ngáng|NG A4 NGZ
ngạng|NG A5 NGZ
ngành|NG EA1 NGZ
ngạnh|NG EA5 NGZ
ngao|NG A0 UZ
ngào|NG A1 UZ
ngảo|NG A3 UZ
ngão|NG A2 UZ
ngáo|NG A4 UZ
ngạo|NG A5 UZ
ngáp|NG A4 PC
ngát|NG A4 TC
ngạt|NG A5 TC
ngay|NG AW0 IZ
ngày|NG AW1 IZ
ngảy|NG AW3 IZ
ngãy|NG AW2 IZ
ngáy|NG AW4 IZ
ngạy|NG AW5 IZ
ngắc|NG AW4 KC
ngăm|NG AW0 MZ
ngằm|NG AW1 MZ
ngẳm|NG AW3 MZ
ngẵm|NG AW2 MZ
ngắm|NG AW4 MZ
ngặm|NG AW5 MZ
ngăn|NG AW0 NZ
ngằn|NG AW1 NZ
ngẳn|NG AW3 NZ
ngẵn|NG AW2 NZ
ngắn|NG AW4 NZ
ngặn|NG AW5 NZ
ngắt|NG AW4 TC
ngặt|NG AW5 TC
ngâm|NG AA0 MZ
ngầm|NG AA1 MZ
ngẩm|NG AA3 MZ
ngẫm|NG AA2 MZ
ngấm|NG AA4 MZ
ngậm|NG AA5 MZ
ngân|NG AA0 NZ
ngần|NG AA1 NZ
ngẩn|NG AA3 NZ
ngẫn|NG AA2 NZ
ngấn|NG AA4 NZ
ngận|NG AA5 NZ
ngẩng|NG AA3 NGZ
ngấp|NG AA4 PC
ngập|NG AA5 PC
ngất|NG AA4 TC
ngầu|NG AA1 UZ
ngẫu|NG AA2 UZ
ngấu|NG AA4 UZ
ngây|NG AA0 IZ
ngầy|NG AA1 IZ
ngẩy|NG AA3 IZ
ngẫy|NG AA2 IZ
ngấy|NG AA4 IZ
ngậy|NG AA5 IZ
nghe|NG E0
nghè|NG E1
nghẻ|NG E3
nghẽ|NG E2
nghé|NG E4
nghẹ|NG E5
nghen|NG E0 NZ
nghèn|NG E1 NZ
nghẻn|NG E3 NZ
nghẽn|NG E2 NZ
nghén|NG E4 NZ
nghẹn|NG E5 NZ
nghèo|NG E1 UZ
nghẽo|NG E2 UZ
nghẹo|NG E5 UZ
nghét|NG E4 TC
nghẹt|NG E5 TC
nghê|NG EE0
nghề|NG EE1
nghể|NG EE3
nghễ|NG EE2
nghế|NG EE4
nghệ|NG EE5
nghếch|NG EE4 KC
nghệch|NG EE5 KC
nghển|NG EE3 NZ
nghênh|NG EE0 NGZ
nghềnh|NG EE1 NGZ
nghểnh|NG EE3 NGZ
nghễnh|NG EE2 NGZ
nghếnh|NG EE4 NGZ
nghệnh|NG EE5 NGZ
nghệt|NG EE5 TC
nghêu|NG EE0 UZ
nghều|NG EE1 UZ
nghểu|NG EE3 UZ
nghễu|NG EE2 UZ
nghếu|NG EE4 UZ
nghệu|NG EE5 UZ
nghi|NG I0
nghì|NG I1
nghỉ|NG I3
nghĩ|NG I2
nghí|NG I4
nghị|NG I5
nghia|NG IE0
nghìa|NG IE1
nghỉa|NG IE3
nghĩa|NG IE2
nghía|NG IE4
nghịa|NG IE5
nghịch|NG I5 KC
nghiêm|NG IE0 MZ
nghiềm|NG IE1 MZ
nghiểm|NG IE3 MZ
nghiễm|NG IE2 MZ
nghiếm|NG IE4 MZ
nghiệm|NG IE5 MZ
nghiên|NG IE0 NZ
nghiền|NG IE1 NZ
nghiển|NG IE3 NZ
nghiễn|NG IE2 NZ
nghiến|NG IE4 NZ
nghiện|NG IE5 NZ
nghiêng|NG IE0 NGZ
nghiềng|NG IE1 NGZ
nghiểng|NG IE3 NGZ
nghiễng|NG IE2 NGZ
nghiếng|NG IE4 NGZ
nghiệng|NG IE5 NGZ
nghiệp|NG IE5 PC
nghiệt|NG IE5 TC
nghỉm|NG I3 MZ
nghìn|NG I1 NZ
nghinh|NG I0 NGZ
nghình|NG I1 NGZ
nghỉnh|NG I3 NGZ
nghĩnh|NG I2 NGZ
nghính|NG I4 NGZ
nghịnh|NG I5 NGZ
nghịt|NG I5 TC
nghỉu|NG I3 UZ
nghịu|NG I5 UZ
nghoeo|NG W E0 UZ
ngo|NG O0
ngò|NG O1
ngỏ|NG O3
ngõ|NG O2
ngó|NG O4
ngọ|NG O5
ngoa|NG W A0
ngòa|NG W A1
ngỏa|NG W A3
ngõa|NG W A2
ngóa|NG W A4
ngọa|NG W A5
ngoác|NG W A4 KC
ngoạc|NG W A5 KC
ngóac|NG W A4 KC
ngọac|NG W A5 KC
ngoai|NG W A0 IZ
ngoài|NG W A1 IZ
ngoải|NG W A3 IZ
ngoãi|NG W A2 IZ
ngoái|NG W A4 IZ
ngoại|NG W A5 IZ
ngòai|NG W A1 IZ
ngỏai|NG W A3 IZ
ngóai|NG W A4 IZ
ngọai|NG W A5 IZ
ngoàm|NG W A1 MZ
ngoạm|NG W A5 MZ
ngọam|NG W A5 MZ
ngoan|NG W A0 NZ
ngoàn|NG W A1 NZ
ngoản|NG W A3 NZ
ngoãn|NG W A2 NZ
ngoán|NG W A4 NZ
ngoạn|NG W A5 NZ
ngõan|NG W A2 NZ
ngọan|NG W A5 NZ
ngoảnh|NG W EA3 NGZ
ngỏanh|NG W EA3 NGZ
ngoáp|NG W A4 PC
ngoảy|NG W AW3 IZ
ngoáy|NG W AW4 IZ
ngỏay|NG W AW3 IZ
ngóay|NG W AW4 IZ
ngoắc|NG W AW4 KC
ngoặc|NG W AW5 KC
ngoằn|NG W AW1 NZ
ngoằng|NG W AW1 NGZ
ngoẵng|NG W AW2 NGZ
ngoắt|NG W AW4 TC
ngoặt|NG W AW5 TC
ngóc|NG OA4 KC
ngọc|NG OA5 KC
ngoe|NG W E0
ngòe|NG W E1
ngỏe|NG W E3
ngõe|NG W E2
ngóe|NG W E4
ngọe|NG W E5
ngoem|NG W E0 MZ
ngoèm|NG W E1 MZ
ngoẻm|NG W E3 MZ
ngoẽm|NG W E2 MZ
ngoém|NG W E4 MZ
ngoẹm|NG W E5 MZ
ngoeo|NG W E0 UZ
ngoèo|NG W E1 UZ
ngoẻo|NG W E3 UZ
ngoẽo|NG W E2 UZ
ngoéo|NG W E4 UZ
ngoẹo|NG W E5 UZ
ngòeo|NG W E1 UZ
ngỏeo|NG W E3 UZ
ngóeo|NG W E4 UZ
ngọeo|NG W E5 UZ
ngoét|NG W E4 TC
ngóet|NG W E4 TC
ngoi|NG O0 IZ
ngòi|NG O1 IZ
ngỏi|NG O3 IZ
ngõi|NG O2 IZ
ngói|NG O4 IZ
ngọi|NG O5 IZ
ngòm|NG O1 MZ
ngóm|NG O4 MZ
ngon|NG O0 NZ
ngòn|NG O1 NZ
ngỏn|NG O3 NZ
ngõn|NG O2 NZ
ngón|NG O4 NZ
ngọn|NG O5 NZ
ngong|NG OA0 NGZ
ngòng|NG OA1 NGZ
ngỏng|NG OA3 NGZ
ngõng|NG OA2 NGZ
ngóng|NG OA4 NGZ
ngọng|NG OA5 NGZ
ngoong|NG O0 NGZ
ngoòng|NG O1 NGZ
ngoỏng|NG O3 NGZ
ngoõng|NG O2 NGZ
ngoóng|NG O4 NGZ
ngoọng|NG O5 NGZ
ngóp|NG O4 PC
ngót|NG O4 TC
ngọt|NG O5 TC
ngô|NG OO0
ngồ|NG OO1
ngổ|NG OO3
ngỗ|NG OO2
ngố|NG OO4
ngộ|NG OO5
ngốc|NG OO4 KC
ngôi|NG OO0 IZ
ngồi|NG OO1 IZ
ngổi|NG OO3 IZ
ngỗi|NG OO2 IZ
ngối|NG OO4 IZ
ngội|NG OO5 IZ
ngồm|NG OO1 MZ
ngổm|NG OO3 MZ
ngôn|NG OO0 NZ
ngồn|NG OO1 NZ
ngổn|NG OO3 NZ
ngỗn|NG OO2 NZ
ngốn|NG OO4 NZ
ngộn|NG OO5 NZ
ngông|NG OO0 NGZ
ngồng|NG OO1 NGZ
ngổng|NG OO3 NGZ
ngỗng|NG OO2 NGZ
ngống|NG OO4 NGZ
ngộng|NG OO5 NGZ
ngộp|NG OO5 PC
ngột|NG OO5 TC
ngơ|NG OW0
ngờ|NG OW1
ngở|NG OW3
ngỡ|NG OW2
ngớ|NG OW4
ngợ|NG OW5
ngơi|NG OW0 IZ
ngời|NG OW1 IZ
ngởi|NG OW3 IZ
ngỡi|NG OW2 IZ
ngới|NG OW4 IZ
ngợi|NG OW5 IZ
ngờm|NG OW1 MZ
ngợm|NG OW5 MZ
ngợp|NG OW5 PC
ngớt|NG OW4 TC
ngu|NG U0
ngù|NG U1
ngủ|NG U3
ngũ|NG U2
ngú|NG U4
ngụ|NG U5
nguẩy|NG W AA3 IZ
nguậy|NG W AA5 IZ
ngúc|NG U4 KC
ngục|NG U5 KC
nguệch|NG W EE5 KC
ngùi|NG U1 IZ
ngủi|NG U3 IZ
ngụm|NG U5 MZ
ngùn|NG U1 NZ
ngủn|NG U3 NZ
ngùng|NG U1 NGZ
ngúng|NG U4 NGZ
nguôi|NG UO0 IZ
nguồi|NG UO1 IZ
nguổi|NG UO3 IZ
nguỗi|NG UO2 IZ
nguối|NG UO4 IZ
nguội|NG UO5 IZ
nguồn|NG UO1 NZ
ngụp|NG U5 PC
ngút|NG U4 TC
ngụt|NG U5 TC
nguy|NG W I0
nguỵ|NG W I5
ngùy|NG W I1
ngủy|NG W I3
ngũy|NG W I2
ngúy|NG W I4
ngụy|NG W I5
nguyên|NG W IE0 NZ
nguyền|NG W IE1 NZ
nguyển|NG W IE3 NZ
nguyễn|NG W IE2 NZ
nguyến|NG W IE4 NZ
nguyện|NG W IE5 NZ
nguyệt|NG W IE5 TC
nguynh|NG W I0 NGZ
nguỳnh|NG W I1 NGZ
nguỷnh|NG W I3 NGZ
nguỹnh|NG W I2 NGZ
nguýnh|NG W I4 NGZ
nguỵnh|NG W I5 NGZ
nguyp|NG W I4 PC
nguýp|NG W I4 PC
nguỵp|NG W I5 PC
nguyt|NG W I4 TC
nguýt|NG W I4 TC
nguỵt|NG W I5 TC
ngúyt|NG W I4 TC
nguyu|NG W I0 UZ
nguỳu|NG W I1 UZ
nguỷu|NG W I3 UZ
nguỹu|NG W I2 UZ
nguýu|NG W I4 UZ
nguỵu|NG W I5 UZ
ngư|NG UW0
ngừ|NG UW1
ngử|NG UW3
ngữ|NG UW2
ngứ|NG UW4
ngự|NG UW5
ngừa|NG WA1
ngửa|NG WA3
ngứa|NG WA4
ngựa|NG WA5
ngực|NG UW5 KC
ngửi|NG UW3 IZ
ngưng|NG UW0 NGZ
ngừng|NG UW1 NGZ
ngửng|NG UW3 NGZ
ngững|NG UW2 NGZ
ngứng|NG UW4 NGZ
ngựng|NG UW5 NGZ
ngước|NG WA4 KC
ngược|NG WA5 KC
ngươi|NG WA0 IZ
người|NG WA1 IZ
ngưởi|NG WA3 IZ
ngưỡi|NG WA2 IZ
ngưới|NG WA4 IZ
ngượi|NG WA5 IZ
ngường|NG WA1 NGZ
ngưởng|NG WA3 NGZ
ngưỡng|NG WA2 NGZ
ngượng|NG WA5 NGZ
ngưu|NG UW0 UZ
ngừu|NG UW1 UZ
ngửu|NG UW3 UZ
ngữu|NG UW2 UZ
ngứu|NG UW4 UZ
ngựu|NG UW5 UZ
nha|NH A0
nhà|NH A1
nhả|NH A3
nhã|NH A2
nhá|NH A4
nhạ|NH A5
nhác|NH A4 KC
nhạc|NH A5 KC
nhách|NH EA4 KC
nhai|NH A0 IZ
nhài|NH A1 IZ
nhải|NH A3 IZ
nhãi|NH A2 IZ
nhái|NH A4 IZ
nhại|NH A5 IZ
nham|NH A0 MZ
nhàm|NH A1 MZ
nhảm|NH A3 MZ
nhãm|NH A2 MZ
nhám|NH A4 MZ
nhạm|NH A5 MZ
nhan|NH A0 NZ
nhàn|NH A1 NZ
nhản|NH A3 NZ
nhãn|NH A2 NZ
nhán|NH A4 NZ
nhạn|NH A5 NZ
nhang|NH A0 NGZ
nhàng|NH A1 NGZ
nhảng|NH A3 NGZ
nhãng|NH A2 NGZ
nháng|NH A4 NGZ
nhạng|NH A5 NGZ
nhanh|NH EA0 NGZ
nhành|NH EA1 NGZ
nhảnh|NH EA3 NGZ
nhãnh|NH EA2 NGZ
nhánh|NH EA4 NGZ
nhạnh|NH EA5 NGZ
nhao|NH A0 UZ
nhào|NH A1 UZ
nhảo|NH A3 UZ
nhão|NH A2 UZ
nháo|NH A4 UZ
nhạo|NH A5 UZ
nháp|NH A4 PC
nhát|NH A4 TC
nhạt|NH A5 TC
nhau|NH AW0 UZ
nhàu|NH AW1 UZ
nhảu|NH AW3 UZ
nhãu|NH AW2 UZ
nháu|NH AW4 UZ
nhạu|NH AW5 UZ
nhay|NH AW0 IZ
nhày|NH AW1 IZ
nhảy|NH AW3 IZ
nhãy|NH AW2 IZ
nháy|NH AW4 IZ
nhạy|NH AW5 IZ
nhắc|NH AW4 KC
nhăm|NH AW0 MZ
nhằm|NH AW1 MZ
nhẳm|NH AW3 MZ
nhẵm|NH AW2 MZ
nhắm|NH AW4 MZ
nhặm|NH AW5 MZ
nhăn|NH AW0 NZ
nhằn|NH AW1 NZ
nhẳn|NH AW3 NZ
nhẵn|NH AW2 NZ
nhắn|NH AW4 NZ
nhặn|NH AW5 NZ
nhăng|NH AW0 NGZ
nhằng|NH AW1 NGZ
nhẳng|NH AW3 NGZ
nhẵng|NH AW2 NGZ
nhắng|NH AW4 NGZ
nhặng|NH AW5 NGZ
nhắt|NH AW4 TC
nhặt|NH AW5 TC
nhấc|NH AA4 KC
nhâm|NH AA0 MZ
nhầm|NH AA1 MZ
nhẩm|NH AA3 MZ
nhẫm|NH AA2 MZ
nhấm|NH AA4 MZ
nhậm|NH AA5 MZ
nhân|NH AA0 NZ
nhần|NH AA1 NZ
nhẩn|NH AA3 NZ
nhẫn|NH AA2 NZ
nhấn|NH AA4 NZ
nhận|NH AA5 NZ
nhấp|NH AA4 PC
nhập|NH AA5 PC
nhất|NH AA4 TC
nhật|NH AA5 TC
nhẩu|NH AA3 UZ
nhậu|NH AA5 UZ
nhầy|NH AA1 IZ
nhẩy|NH AA3 IZ
nhẫy|NH AA2 IZ
nhậy|NH AA5 IZ
nhe|NH E0
nhè|NH E1
nhẻ|NH E3
nhẽ|NH E2
nhé|NH E4
nhẹ|NH E5
nhem|NH E0 MZ
nhèm|NH E1 MZ
nhẻm|NH E3 MZ
nhẽm|NH E2 MZ
nhém|NH E4 MZ
nhẹm|NH E5 MZ
nhen|NH E0 NZ
nhèn|NH E1 NZ
nhẻn|NH E3 NZ
nhẽn|NH E2 NZ
nhén|NH E4 NZ
nhẹn|NH E5 NZ
nheo|NH E0 UZ
nhèo|NH E1 UZ
nhẻo|NH E3 UZ
nhẽo|NH E2 UZ
nhéo|NH E4 UZ
nhẹo|NH E5 UZ
nhép|NH E4 PC
nhét|NH E4 TC
nhẹt|NH E5 TC
nhễ|NH EE2
nhếch|NH EE4 KC
nhện|NH EE5 NZ
nhi|NH I0
nhì|NH I1
nhỉ|NH I3
nhĩ|NH I2
nhí|NH I4
nhị|NH I5
nhích|NH I4 KC
nhiếc|NH IE4 KC
nhiễm|NH IE2 MZ
nhiệm|NH IE5 MZ
nhiên|NH IE0 NZ
nhiền|NH IE1 NZ
nhiển|NH IE3 NZ
nhiễn|NH IE2 NZ
nhiến|NH IE4 NZ
nhiện|NH IE5 NZ
nhiếp|NH IE4 PC
nhiệt|NH IE5 TC
nhiêu|NH IE0 UZ
nhiều|NH IE1 UZ
nhiểu|NH IE3 UZ
nhiễu|NH IE2 UZ
nhiếu|NH IE4 UZ
nhiệu|NH IE5 UZ
nhím|NH I4 MZ
nhìn|NH I1 NZ
nhịn|NH I5 NZ
nhỉnh|NH I3 NGZ
nhíp|NH I4 PC
nhịp|NH I5 PC
nhịt|NH I5 TC
nhíu|NH I4 UZ
nhịu|NH I5 UZ
nho|NH O0
nhò|NH O1
nhỏ|NH O3
nhõ|NH O2
nhó|NH O4
nhọ|NH O5
nhoà|NH W A1
nhòa|NH W A1
nhoài|NH W A1 IZ
nhòai|NH W A1 IZ
nhoàm|NH W A1 MZ
nhòam|NH W A1 MZ
nhoáng|NH W A4 NGZ
nhoạng|NH W A5 NGZ
nhóang|NH W A4 NGZ
nhọang|NH W A5 NGZ
nhoay|NH W AW0 IZ
nhoày|NH W AW1 IZ
nhoảy|NH W AW3 IZ
nhoãy|NH W AW2 IZ
nhoáy|NH W AW4 IZ
nhoạy|NH W AW5 IZ
nhóay|NH W AW4 IZ
nhóc|NH OA4 KC
nhọc|NH OA5 KC
nhoè|NH W E1
nhòe|NH W E1
nhoem|NH W E0 MZ
nhoèm|NH W E1 MZ
nhoẻm|NH W E3 MZ
nhoẽm|NH W E2 MZ
nhoém|NH W E4 MZ
nhoẹm|NH W E5 MZ
nhoèn|NH W E1 NZ
nhoẻn|NH W E3 NZ
nhòen|NH W E1 NZ
nhỏen|NH W E3 NZ
nhoeo|NH W E0 UZ
nhoèo|NH W E1 UZ
nhoẻo|NH W E3 UZ
nhoẽo|NH W E2 UZ
nhoéo|NH W E4 UZ
nhoẹo|NH W E5 UZ
nhoẹt|NH W E5 TC
nhọet|NH W E5 TC
nhoi|NH O0 IZ
nhòi|NH O1 IZ
nhỏi|NH O3 IZ
nhõi|NH O2 IZ
nhói|NH O4 IZ
nhọi|NH O5 IZ
nhom|NH O0 MZ
nhòm|NH O1 MZ
nhỏm|NH O3 MZ
nhõm|NH O2 MZ
nhóm|NH O4 MZ
nhọm|NH O5 MZ
nhon|NH O0 NZ
nhòn|NH O1 NZ
nhỏn|NH O3 NZ
nhõn|NH O2 NZ
nhón|NH O4 NZ
nhọn|NH O5 NZ
nhong|NH OA0 NGZ
nhòng|NH OA1 NGZ
nhỏng|NH OA3 NGZ
nhõng|NH OA2 NGZ
nhóng|NH OA4 NGZ
nhọng|NH OA5 NGZ
nhoong|NH O0 NGZ
nhoòng|NH O1 NGZ
nhoỏng|NH O3 NGZ
nhoõng|NH O2 NGZ
nhoóng|NH O4 NGZ
nhoọng|NH O5 NGZ
nhót|NH O4 TC
nhọt|NH O5 TC
nhô|NH OO0
nhồ|NH OO1
nhổ|NH OO3
nhỗ|NH OO2
nhố|NH OO4
nhộ|NH OO5
nhồi|NH OO1 IZ
nhối|NH OO4 IZ
nhôm|NH OO0 MZ
nhồm|NH OO1 MZ
nhổm|NH OO3 MZ
nhỗm|NH OO2 MZ
nhốm|NH OO4 MZ
nhộm|NH OO5 MZ
nhồn|NH OO1 NZ
nhổn|NH OO3 NZ
nhốn|NH OO4 NZ
nhộn|NH OO5 NZ
nhông|NH OO0 NGZ
nhồng|NH OO1 NGZ
nhổng|NH OO3 NGZ
nhỗng|NH OO2 NGZ
nhống|NH OO4 NGZ
nhộng|NH OO5 NGZ
nhốt|NH OO4 TC
nhột|NH OO5 TC
nhơ|NH OW0
nhờ|NH OW1
nhở|NH OW3
nhỡ|NH OW2
nhớ|NH OW4
nhợ|NH OW5
nhơi|NH OW0 IZ
nhời|NH OW1 IZ
nhởi|NH OW3 IZ
nhỡi|NH OW2 IZ
nhới|NH OW4 IZ
nhợi|NH OW5 IZ
nhơm|NH OW0 MZ
nhờm|NH OW1 MZ
nhởm|NH OW3 MZ
nhỡm|NH OW2 MZ
nhớm|NH OW4 MZ
nhợm|NH OW5 MZ
nhơn|NH OW0 NZ
nhờn|NH OW1 NZ
nhởn|NH OW3 NZ
nhỡn|NH OW2 NZ
nhớn|NH OW4 NZ
nhợn|NH OW5 NZ
nhớp|NH OW4 PC
nhớt|NH OW4 TC
nhợt|NH OW5 TC
nhu|NH U0
nhù|NH U1
nhủ|NH U3
nhũ|NH U2
nhú|NH U4
nhụ|NH U5
nhúa|NH UO4
nhụa|NH UO5
nhuần|NH W AA1 NZ
nhuận|NH W AA5 NZ
nhúc|NH U4 KC
nhục|NH U5 KC
nhuế|NH W EE4
nhuệ|NH W EE5
nhùi|NH U1 IZ
nhủi|NH U3 IZ
nhụi|NH U5 IZ
nhùm|NH U1 MZ
nhúm|NH U4 MZ
nhũn|NH U2 NZ
nhún|NH U4 NZ
nhung|NH U0 NGZ
nhùng|NH U1 NGZ
nhủng|NH U3 NGZ
nhũng|NH U2 NGZ
nhúng|NH U4 NGZ
nhụng|NH U5 NGZ
nhuốc|NH UO4 KC
nhuôi|NH UO0 IZ
nhuồi|NH UO1 IZ
nhuổi|NH UO3 IZ
nhuỗi|NH UO2 IZ
nhuối|NH UO4 IZ
nhuội|NH UO5 IZ
nhuốm|NH UO4 MZ
nhuộm|NH UO5 MZ
nhút|NH U4 TC
nhụt|NH U5 TC
nhuỵ|NH W I5
nhụy|NH W I5
nhuyễn|NH W IE2 NZ
nhuynh|NH W I0 NGZ
nhuỳnh|NH W I1 NGZ
nhuỷnh|NH W I3 NGZ
nhuỹnh|NH W I2 NGZ
nhuýnh|NH W I4 NGZ
nhuỵnh|NH W I5 NGZ
nhuyp|NH W I4 PC
nhuýp|NH W I4 PC
nhuỵp|NH W I5 PC
nhuyt|NH W I4 TC
nhuýt|NH W I4 TC
nhuyu|NH W I0 UZ
nhuỳu|NH W I1 UZ
nhuỷu|NH W I3 UZ
nhuỹu|NH W I2 UZ
nhuýu|NH W I4 UZ
nhuỵu|NH W I5 UZ
như|NH UW0
nhừ|NH UW1
nhử|NH UW3
nhữ|NH UW2
nhứ|NH UW4
nhự|NH UW5
nhừa|NH WA1
nhựa|NH WA5
nhức|NH UW4 KC
nhưng|NH UW0 NGZ
nhừng|NH UW1 NGZ
nhửng|NH UW3 NGZ
những|NH UW2 NGZ
